Fund;Fund Type;Country;World Bank Region;Income Classification;Name of Project;Theme/Objective;Sector (OECD);DAC 5 Code;Sub-Sector;Key words;Implementing Agency;Recipient Institution;Recipient Institution type;Approved year;End year;Concessional loan;Grant;Guarantee;Equity;Amount of Funding Approved (USD millions); Disbursed (USD millions);Least Developed Country;Small Island Developing Nation;Fragile or Conflict Affected State
Green Climate Fund IRM (GCF IRM);Multilateral;Bolivia;Latin America & Caribbean;Lower middle income;BOL-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Bolivia, Ministry of Development Planning;;National Government;2015;;;0,3;;;0,3;0,06;;;
Green Climate Fund IRM (GCF IRM);Multilateral;El Salvador;Latin America & Caribbean;Lower middle income;SLV-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Viceministerio de CooperaciÛn para el Desarrollo (VMCD) Deputy Ministry of Development Cooperation;;;2015;;;0,3;;;0,3;0;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Benin;Sub-Saharan Africa;Low income;PwC Direct Access Entity Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;;2015;2016;;0,04;;;0,04;0,04;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Colombia;Latin America & Caribbean;Upper middle income;PwC Direct Access Entity Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;Government;2015;2015;;0,04;;;0,04;0,03;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Brazil;Latin America & Caribbean;Upper middle income;PwC Direct Access Entity Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;;2015;2015;;0,04;;;0,04;0,03;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Colombia;Latin America & Caribbean;Upper middle income;PwC Direct Access Entity Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;;2015;2015;;0,04;;;0,04;0,03;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Honduras;Latin America & Caribbean;Lower middle income;PwC Direct Access Entity Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;;2015;2016;;0,04;;;0,04;0,03;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Honduras;Latin America & Caribbean;Lower middle income;PwC Direct Access Entity Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;;2015;2015;;0,04;;;0,04;0,04;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Gabon;Sub-Saharan Africa;Upper middle income;GAB-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Caisse des DÈpÙts et Consignations (CDC-Gabon);;;2016;2019;;0,3;;;0,3;0,28;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Cook Islands;East Asia & Pacific;#N/A;COK-RS-001 NDA Strengthening;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Cook Islands, Ministry of Finance and Economic Management (MFEM_COK);;;2015;2018;;0,15;;;0,15;0,14;;SIDS - Pacific;
Green Climate Fund IRM (GCF IRM);Multilateral;Haiti;Latin America & Caribbean;Low income;HTI-RS-001 Green Climate Fund (GCF) Readiness Programme in Haiti;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;United Nations Development Programme (UNDP);;;2017;;;0,43;;;0,43;0,41;LDC;SIDS - Caribbean;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Niue;East Asia & Pacific;#N/A;PwC Direct Access Entity Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;Government;2015;2015;;0,04;;;0,04;0,04;;SIDS - Pacific;
Green Climate Fund IRM (GCF IRM);Multilateral;Micronesia;East Asia & Pacific;Lower middle income;FSM-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Secretariat of the Pacific Community (SPC);;;2015;2020;;0,41;;;0,41;0,38;;SIDS - Pacific;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Vanuatu;East Asia & Pacific;Lower middle income;VUT-RS-002 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH;;;2015;;;0,3;;;0,3;0,31;LDC;SIDS - Pacific;
Green Climate Fund IRM (GCF IRM);Multilateral;Antigua and Barbuda;Latin America & Caribbean;High income;ATG-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Department of Environment, Ministry of Health and Environment, Government of Antigua and Barbuda (DOE_ATG);;;2015;2018;;0,3;;;0,3;0,23;;SIDS - Caribbean;
Green Climate Fund IRM (GCF IRM);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;SWZ-RS-002 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;The United Nations Environment Programme (UNEP);;;2018;2024;;0,3;;;0,3;0,28;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Mongolia;East Asia & Pacific;Lower middle income;MNG-RS-001 Establishing and strengthening National Designated Authority (NDA) and Focal Point (NFP), and Strategic frameworks for engagement with the Fund, including the preparation of country programmes;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;XacBank LLC (XacBank);;;2015;2019;;0,3;;;0,3;0,29;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Palau;East Asia & Pacific;High income;PwC Direct Access Entry Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;;2016;2016;;0,04;;;0,04;0,04;;SIDS - Pacific;
Green Climate Fund IRM (GCF IRM);Multilateral;Cote d'Ivoire;Sub-Saharan Africa;Lower middle income;CIV-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Centre de Suivi Ecologique (CSE);;;2017;2021;;0,3;;;0,3;0,24;;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Chad;Sub-Saharan Africa;Low income;TCD-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Centre de Suivi Ecologique (CSE);;;2015;2020;;0,3;;;0,3;0,26;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;ZMB-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Zambia;;Government Agencies;2015;;;0,3;;;0,3;0,24;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Pakistan;South Asia;Lower middle income;PAK-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;National Rural Support Programme (NRSP);;;2015;2018;;0,3;;;0,3;0,25;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Liberia;Sub-Saharan Africa;Low income;LBR-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;United Nations Development Programme (UNDP);;;2015;;;0,3;;;0,3;0,3;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Philippines;East Asia & Pacific;Lower middle income;PHL-RS-001 Philippine Green Climate Fund (GCF) Readiness Program Track 1;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Department of Environment and Natural Resources (DENR);;Government Agencies;2015;;;0,3;;;0,3;0;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Seychelles;Sub-Saharan Africa;High income;PwC Direct Access Entity Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;;2016;2016;;0,04;;;0,04;0,03;;SIDS - AIMS;
Green Climate Fund IRM (GCF IRM);Multilateral;Senegal;Sub-Saharan Africa;Low income;SEN-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Centre de Suivi Ecologique (CSE);;;2015;2021;;0,3;;;0,3;0,2;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Congo, Rep.;Sub-Saharan Africa;Lower middle income;COG-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;United Nations Development Programme (UNDP);;;2016;;;0,3;;;0,3;0,04;;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Ecuador;Latin America & Caribbean;Upper middle income;ECU-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;United Nations Development Programme (UNDP);;;2017;;;0,3;;;0,3;0,3;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Mauritius;Sub-Saharan Africa;Upper middle income;MUS-RS-003 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Mauritius, Ministry of Finance and Economic Development;;;2019;;;0,3;;;0,3;0,25;;SIDS - AIMS;
Green Climate Fund IRM (GCF IRM);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;PwC Direct Access Entity Support;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;PricewaterhouseCoopers (PWC);;;2015;2015;;0,04;;;0,04;0,03;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Guinea;Sub-Saharan Africa;Low income;GIN-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;United Nations Development Programme (UNDP);;Government Agencies;2015;2024;;0,3;;;0,3;0,29;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Guyana;Latin America & Caribbean;Upper middle income;GUY-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Caribbean Community Climate Change Centre (CCCCC);;;2015;2018;;0,3;;;0,3;0,18;;SIDS - Caribbean;
Green Climate Fund IRM (GCF IRM);Multilateral;India;South Asia;Lower middle income;IND-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;United Nations Development Programme (UNDP);;;2015;;;0,3;;;0,3;0,3;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Chile;Latin America & Caribbean;High income;CHL-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Chilean Development Cooperation Agency;;;2016;2022;;0,3;;;0,3;0,25;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Bangladesh;South Asia;Lower middle income;BGD-RS-001 Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;United Nations Development Programme (UNDP);;;2015;2024;;0,15;;;0,15;0,15;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Senegal;Sub-Saharan Africa;Low income; Strategic Framework;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;International Finance Corporation (IFC);;;2016;;;0,6;;;0,6;0;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;KEN-RS-001 NDA Strengthening;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Kenya;;;2015;;;0,15;;;0,15;0;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Vanuatu;East Asia & Pacific;Lower middle income;VUT-RS-001 Strategic Framework;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Secretariat of the Pacific Regional Environment Programme (SPREP);;;2016;2018;;0,14;;;0,14;0,13;LDC;SIDS - Pacific;
Green Climate Fund IRM (GCF IRM);Multilateral;Djibouti;Middle East & North Africa;Lower middle income;DJI-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Centre de Suivi Ecologique (CSE);;;2015;2021;;0,3;;;0,3;0,22;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Central African Republic;Sub-Saharan Africa;Low income;CAF-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;United Nations Development Programme (UNDP);;;2016;2024;;0,3;;;0,3;0,28;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Guatemala;Latin America & Caribbean;Upper middle income;GTM-RS-001 Implementation of Readiness Support in Guatemala: Strengthening institutional capacities of the Ministry of Environment and Natural Resources of Guatemala as the focal point for the GCF, and a broader group of stakeholders;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;International Union for Conservation of Nature (IUCN);;;2017;2020;;0,37;;;0,37;0,35;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Bangladesh;South Asia;Lower middle income;BGD-RS-002 NDA Strengthening;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH;;;2016;;;0,15;;;0,15;0,07;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Jamaica;Latin America & Caribbean;Upper middle income;JAM-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Jamaica;;;2017;2022;;0,3;;;0,3;0,3;;SIDS - Caribbean;
Green Climate Fund IRM (GCF IRM);Multilateral;Mauritania;Sub-Saharan Africa;Lower middle income;MRT-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Mauritania;;;2017;2021;;0,3;;;0,3;0,3;LDC;;
